#element,configuration,UUID
C,XO,4314ff48-9921-4017-b4e6-2d26e55005d1
C,XO2,4d4548c5-f3bf-4001-bef7-09a9baf72ad7
C,XO3,3bd321bd-2d00-4f71-a567-895d1782aee1
Ca,X2O,27adb5b0-48e6-4c97-8d80-2b376651bc95
Ca,X2O3,b8280a9f-5ad1-4f94-8e9e-e0e4f0f417ce
Ca,X2O5,2fe72a1c-d5b1-488b-ae00-532a3e16ba45
Ca,XO,7e36ec88-d094-495f-b827-7067c1c9d003
Ca,XO2,be35f15e-830a-47a6-a6a3-d04f59dbb9ac
Ca,XO3,fae968a9-4bc3-4259-b612-a71902726eda
Cd,X2O,569a78df-bae5-40a3-874f-021cb32e47bb
Cd,X2O3,30787066-9d4c-4dcc-adb7-72ae2fb030f2
Cd,X2O5,ea84e56d-47c6-41d4-b73e-7938a47aceb5
Cd,XO,620ef8c3-8a65-41a0-9e46-2e6f2ab31e74
Cd,XO2,43bc4e66-33c4-4b0c-b180-baf3e1660c38
Cd,XO3,da468a29-145d-4c46-98e1-edc807ecfd6b
Ce,X2O,3392e661-ff2b-4637-8f1b-0f8c078e6aa2
Ce,X2O3,493235ec-daa9-419d-96f3-62c90647ff74
Ce,X2O5,f49de6a2-5170-443d-89a5-ccbe7e6a7c7d
Ce,XO,e26e2417-108b-4d24-8768-f011ad1d812e
Ce,XO2,b692a0e9-a9fa-49aa-a7a7-de347fb459f7
Ce,XO3,0e460286-33d4-4e7d-9bf7-3f93523b5bdb
Cl,X2O,95fa149c-0b1f-4293-9a59-65f89e2d001a
Cl,X2O3,0458e1ab-ef3c-4f8c-9714-35245320609a
Cl,X2O5,53c35cd4-ef07-4a28-b33e-97c78f1c1fcc
Cl,XO,65a04b3e-0eed-408d-aee8-86ee2de1aa09
Cl,XO2,6206e37e-fb5c-416b-b9dd-210d17cdfeab
Cl,XO3,d491b731-fd32-46f7-afea-32a0746c71a6
Cm,X2O,6f7ddf3a-f6b1-4f8e-b437-7e630452cbc7
Cm,X2O3,e2649500-e2d0-40ac-9eca-30d22e4c77ca
Cm,X2O5,18057b0e-d16a-4dfa-80d8-795e892539ee
Cm,XO,f6a166b0-5649-4c4d-bb43-988d9ba14dec
Cm,XO2,25d2b38b-2e63-48cb-aa02-394611632130
Cm,XO3,b9e6b20c-7d79-4520-b1e3-15dfc72ec86f
Co,X2O,4d4eef33-60ae-4ab5-856e-b58a56cc8f0e
Co,X2O3,394d5da0-6a66-458c-bfcb-949722c950b9
Co,X2O5,f08974af-5fab-4096-84b4-851b4318df47
Co,XO,e2a3bdec-d0ee-4485-802c-2f72fcb82c01
Co,XO2,9fb17c0d-767d-47f1-a32e-a47664e7a53e
Co,XO3,11706598-dfa4-49c0-9dfd-b774a009b1af
Cr,X2O,a6c1699b-4ea1-4a29-bfa1-4942927d5c32
Cr,X2O3,745c9a08-2906-4c16-a362-a443bcedd4ed
Cr,X2O5,3cb337d5-1d2a-4eca-b2c1-4ccfe5f10c81
Cr,XO,65882118-c46e-4c50-ab4d-f89abf1f40fa
Cr,XO2,c64d5da3-47e8-4284-9acd-e57a843f3a28
Cr,XO3,1204b7b2-0a51-490b-887f-12c1ecb08501
Cs,X2O,c6ff2b9a-e6eb-4fb5-b3ca-8ac3657082a6
Cs,X2O3,33c36b04-90d6-4978-bf80-17f9fec1798a
Cs,X2O5,bb2135af-c2c2-4a9f-a539-a61ae9020fcd
Cs,XO,4ed9028d-0821-4a57-8dd5-3f34a099e322
Cs,XO2,5961ab55-fa2f-4a5f-a538-af55a6c85886
Cs,XO3,e2b7e6c8-1fef-47af-8cec-eaa21d6b9067
Cu,X2O,435b106e-d8b1-48a3-8271-70cf507efa10
Cu,X2O3,8f1e3167-c48c-4dbd-b958-46ee1d10b8c3
Cu,X2O5,5b568421-1c6b-46da-a1a3-932a6dcf6dcb
Cu,XO,bdef63a0-7422-462f-bc29-d7c6e5dc8efe
Cu,XO2,9ee67ccf-ddd6-4736-8203-d16681185728
Cu,XO3,62a3afce-4c85-4891-8ccd-05b207c8fc70
Dy,X2O,8ace34d7-3333-41df-998c-bc5e5eb22274
Dy,X2O3,29d52472-bad2-4ccd-8bb1-7a6c2a5cf9d9
Dy,X2O5,1ab1545c-127e-4771-8567-10cc0502bfb6
Dy,XO,a909a5f2-e6c9-4512-8621-77b8cf5c43c8
Dy,XO2,0c961556-2d57-4aaa-98c2-3cc5c272fb42
Dy,XO3,7df4cbf2-357e-48fb-a55b-d35bf8a1a7f7
Er,X2O,7132a18e-97d1-4024-8f80-22413e50bf17
Er,X2O3,cd9d9312-e3ae-4057-a26f-700bf79fee08
Er,X2O5,d0d35abd-b50f-4482-a072-fb655ecba2e8
Er,XO,6a173eaf-d6a0-4766-85c0-92e74d2b33f5
Er,XO2,3005492c-7a75-4585-b711-9bcb2a1557cc
Er,XO3,c17c2a9e-bd85-4ea8-b929-0d89f6cc7cf8
Eu,X2O,699a8f7c-6f3e-4a7f-813e-a0be79027cd2
Eu,X2O3,62fa30ed-5b64-43c9-8fde-2d23e63c82d0
Eu,X2O5,8f2e2837-fcbb-4442-86fc-bdc2605aa6e7
Eu,XO,8485897b-c61f-431f-a6bc-aebf9866df93
Eu,XO2,80ff8cb2-18af-4e38-9674-745ff391c08f
Eu,XO3,26d45361-0c98-428c-96c3-e77813c13700
F,X2O,13b51bee-e777-418f-af69-17bad4c077e1
F,X2O3,c4c0e3b3-b4db-42f7-a4bb-06038edfdfe0
F,X2O5,770888c7-e010-41e4-8fea-d635692737e0
F,XO,7f96a792-6b91-4e04-9498-5a3a937a57e0
F,XO2,a8e2439c-ed8c-47f4-8dfd-c48b7a188b8b
F,XO3,1a8cefcc-e886-479e-9c1b-65df39ec0055
Fe,X2O,7f9c170c-74fc-4e74-9ba8-761fbff2f929
Fe,X2O3,951cc0b1-8b85-42e8-b030-92aac61cfa04
Fe,X2O5,526734ed-dad8-4c30-828e-ab970e1e3960
Fe,XO,5b85a925-1842-4265-97ff-08d72d3f359d
Fe,XO2,8c28bd26-8e49-41af-a239-524b44e2341c
Fe,XO3,9dfc0f0a-16f4-409a-b988-2eb84a828e5a
Fr,X2O,755c719d-1381-4167-b69e-146519ecde05
Fr,X2O3,1ea16a40-9fd6-426c-a6e4-4fd7dc22e7cc
Fr,X2O5,537885f9-ab64-490b-a8d5-c2cafdad6976
Fr,XO,5f434a7f-ed7e-44b8-ad82-80577988e25a
Fr,XO2,33f7f516-29a9-4f83-9903-da4cd49812aa
Fr,XO3,a2d0fd37-79fd-4583-8ef1-b93a28b574e8
Ga,X2O,3f26cca7-d583-4fed-bdc7-3b76e80a8c66
Ga,X2O3,25598293-250e-4018-8308-f589ec435c1e
Ga,X2O5,2c32c0af-4e54-4fa2-8d2a-a3ba6c1c859f
Ga,XO,49cc9013-c958-4ac7-85bc-c257462f3edb
Ga,XO2,7c1079ac-ed37-4cb0-8d32-92add1cb28db
Ga,XO3,b154daac-29b3-445a-be5a-9aa7c358fc9c
Gd,X2O,db91ed47-4327-4cb5-8f57-f4c01c60ad43
Gd,X2O3,831c56e3-26a0-4ad2-acb7-f633e9e6e73f
Gd,X2O5,90fdc7ef-cc67-4f2e-a6df-360de67034dc
Gd,XO,7ee2d834-4462-447f-8d12-5e3136867b2c
Gd,XO2,01c905ff-1fad-4233-b4bb-9f5438f53d57
Gd,XO3,680f085e-62fd-4caa-83cc-691181bf065b
Ge,X2O,5c233ef3-c0f3-4153-859b-16cd64990f7f
Ge,X2O3,31d44056-678d-469c-8b9c-10689bb7f060
Ge,X2O5,7bc1a164-54a2-4ab9-bc92-09a7abcc5714
Ge,XO,9ce2acf6-ba16-403b-8943-5e8d6c6af5ba
Ge,XO2,03e90f02-7bda-4f39-9fb1-d14219388ef8
Ge,XO3,2c65b97d-3e40-4cb8-9742-6ba833c820cb
H,X2O,c2334896-86ce-4d40-bd6e-15d597e4023f
H,X2O3,16d33e26-1a3b-40e1-835a-17f7f016b808
H,X2O5,02c21d69-e596-4102-89cb-7509853eae6f
H,XO,65810797-6dd9-4762-afd7-c3a22f29e27c
H,XO2,1473c9b4-bfe6-4897-bf9b-a12d0adecde5
H,XO3,018f318d-b685-4c93-b2c2-bca5c4f7937f
He,X2O,8ea0e37c-5165-4514-8443-104a0e0b9855
He,X2O3,bb230d89-7b29-4e04-aea5-1fe3dbce344b
He,X2O5,750752c8-84ad-491f-a41f-cff0ac389968
He,XO,60030244-a797-4419-9dc7-11690db6098f
He,XO2,e113d74a-34fe-421b-8a4c-0e2108142513
He,XO3,4a4a3eb0-a05b-447b-aa32-a4ffa0813433
Hf,X2O,8cf3b679-7da7-48b3-9532-c804fc37b1f1
Hf,X2O3,90abdd1e-9b70-4fb6-8ec8-61eb36c8933f
Hf,X2O5,887c3ff2-3b4d-43ef-b8ba-cd1107a0f325
Hf,XO,760b13ef-8e24-47da-8e43-0167ff9237e8
Hf,XO2,327fa621-7962-4309-a233-9cc86c3c9ebc
Hf,XO3,17196b66-f7e0-4882-af04-277650b4cb25
Hg,X2O,58b01b3c-5b2e-4d5f-9e7c-c9f3f2cb0464
Hg,X2O3,563f21b3-bc77-45c8-ba00-154d8598432d
Hg,X2O5,d1ce8dec-dda7-400a-b960-e54e73fa688f
Hg,XO,6346bc49-52b3-4d75-8b62-298a24878878
Hg,XO2,4953d447-f371-4d3c-8012-f200e84a6628
Hg,XO3,95d91ffd-5ac6-4437-a2a9-381cc3a836cf
Ho,X2O,e4d40e12-8c89-40d3-8bdc-4c67b6dfeddc
Ho,X2O3,3f549059-4096-44c6-9e3f-dfd956658fd1
Ho,X2O5,05c5cb33-30bb-476a-b4ee-e8c86d87d893
Ho,XO,8cd3e588-216d-443b-aa14-725da12241c3
Ho,XO2,53f93acf-1fb3-48b6-a796-d371dbafaca9
Ho,XO3,0e236439-6d63-4c12-9b9d-51620d600896
I,X2O,4c60a63b-a434-4c93-8e45-8893facdf74d
I,X2O3,dcec914c-d6a7-4f08-afa2-68dc80dddbef
I,X2O5,dc539e67-81c3-4c8d-b0c1-d9f685ef2526
I,XO,e2fc2597-3952-45f8-bf56-e304ac13199b
I,XO2,75459d88-074d-4de0-9864-ece69d7b3035
I,XO3,7fd39408-09a3-42b7-a4c3-a642bf8f15f2
In,X2O,1d2e4b2b-97e0-4a7f-9015-c1771b44b2cc
In,X2O3,0abc1fac-4163-4317-9361-f181d504c725
In,X2O5,1a024abf-4f7c-42bd-b6f6-404b742a0a9e
In,XO,0cee210c-3e25-4b3f-a261-d440c3093db6
In,XO2,af3d76e3-cacd-4e0d-9ff3-8716d17a4b03
In,XO3,2127812c-258b-4b72-afbc-980c2dadefd1
Ir,X2O,21d40334-4f6e-4105-989f-2bec38cc61d5
Ir,X2O3,4a738d3f-debd-46b6-be52-4f04313d90fd
Ir,X2O5,e2a51bd0-df39-45eb-80e2-3bc3c237ba74
Ir,XO,2f9569f8-f7f2-4ed7-9e17-fe7ef2ee39d0
Ir,XO2,e69185e0-31a3-49aa-91e3-15ca27782e33
Ir,XO3,3b16054a-47d7-4ae8-a840-a198a17b9678
K,X2O,26f45ab3-4199-4733-ae13-f438377858d8
K,X2O3,952493aa-62e5-457e-86a6-4a74852dfd13
K,X2O5,fdeaf8ee-b16a-4af3-9e97-5e6d7fd310b9
K,XO,ac0df5c6-deff-48f4-ab1b-de0cc4fb64c7
K,XO2,82c4c983-c68d-4f16-8e49-2826daf58b26
K,XO3,90f76495-e029-481b-a279-0e674e191b0e
Kr,X2O,0bc43101-4971-4edb-9774-44ebeb5a665a
Kr,X2O3,00cbeeba-09a8-401e-84f7-6ad5bf3ddc8b
Kr,X2O5,74fd8281-754a-4aaa-8817-77de3e58b469
Kr,XO,51913804-a73e-4052-8ec5-c09ec41f61c3
Kr,XO2,36e46604-a597-4419-85f7-9e3a3aaafb18
Kr,XO3,a59ac191-3c54-4359-af89-9a78bb1688ec
La,X2O,a8e44d76-ec12-48ee-a930-6914fa233a07
La,X2O3,142d259a-bd4e-4855-bce5-2e61fa87ad90
La,X2O5,019fe313-dbba-4b49-87aa-14894e9a791d
La,XO,660b3555-5492-42bb-9d27-7303d183d9f7
La,XO2,9bf09950-09dd-411e-bd17-a1964ac67169
La,XO3,75b13d58-228b-4140-8ae4-cf78cad1bfc8
Li,X2O,a469f4de-0fe7-4d79-b431-90ad67aaad35
Li,X2O3,93ee2dcf-09a1-4c5f-931f-c760809e3c04
Li,X2O5,cd548776-664c-4ca7-b990-5104d00b2d1d
Li,XO,c591be73-3b88-43f7-aaa9-292e426a53e3
Li,XO2,bf595f41-1b41-4f4b-a32b-d7e1f534d979
Li,XO3,cf246328-59ea-40ed-83de-2b1740ab7ac4
Lu,X2O,f9dbb3b0-741d-46ea-baa8-52815fc861f3
Lu,X2O3,8fdf2753-5f86-4393-afc0-37af56b66717
Lu,X2O5,c4ce8801-51bf-416b-bd58-58634c7dec80
Lu,XO,571ff630-4c4f-4f1b-9e76-5ceef8dfb046
Lu,XO2,69d4a365-4d6c-44b2-ae2e-007d5328b786
Lu,XO3,e3fcad82-c5fa-4edd-a115-1fa9d6d0363b
Mg,X2O,d3014bb6-3012-4b7e-91de-de3353f3a1bb
Mg,X2O3,9ad56ff4-c2a7-42a3-bd93-050e401b3a80
Mg,X2O5,920e5378-db6b-451d-87d1-c9d54719ee02
Mg,XO,d72fad6c-e7fe-4481-bfd3-7aab5c46e310
Mg,XO2,6d55d594-9648-4344-8fe6-86abd4dfea6c
Mg,XO3,196d058b-b356-497b-8c77-a3f2e077e669
Mn,X2O,fb5758be-3879-402b-b09c-59ae18f95d99
Mn,X2O3,fa67a774-40cc-4d07-b255-a8b80ecb4651
Mn,X2O5,c368db0b-43a6-4a26-bdd8-39187786712c
Mn,XO,712128a3-cfc4-41a7-b1a2-81f4fc9da7d7
Mn,XO2,bc045634-45f1-417f-b554-497a01e0760c
Mn,XO3,1f43aa19-2daa-4164-ab3e-9c5debcee3f1
Mo,X2O,ac7e371b-c873-409a-a7a3-52cc1f9781dc
Mo,X2O3,01dcf604-a01d-4f2b-8800-cdcf539449d7
Mo,X2O5,aadc62c9-0cce-4d31-9a03-972942862790
Mo,XO,1b376937-f785-42f4-bac0-4933425462c1
