H   6.364  158.7144  4.3647
He  8.246  67.7917  5.0255
Li  8.297  93.8480  4.5105
Be  7.390  181.7701  4.0400
B   6.787  258.3942  4.1873
C   7.573  169.1728  4.5034
N   8.501  161.3622  4.2299
F   10.255  83.0243  5.0552
Ne  12.907  33.9961  5.5125
Na  12.190  53.9227  4.8112
Mg  10.186  119.2400  4.2627
Al  8.763  207.6152  4.1015
Si  8.017  265.7095  4.3768
P   9.062  183.5486  3.9536
S   9.911  161.5319  4.3248
Cl  11.558  96.7929  4.7321
Ar  16.772  21.1991  5.9467
K   19.312  24.8280  4.7518
Ca  14.083  80.0216  4.3157
Sc  10.989  169.4006  4.1353
Ti  9.393  248.3930  4.2711
V   8.848  263.5044  4.3504
Cr  8.465  273.3299  4.3667
Mn  8.208  277.5275  4.5251
Fe  8.060  276.2470  4.5624
Co  8.342  253.6803  4.6574
Ni  8.729  220.1925  4.6899
Cu  9.398  172.5572  4.7624
Zn  10.123  142.9019  4.6418
Ga  9.748  184.7122  4.5617
Ge  9.393  198.9394  4.7968
As  10.494  166.1972  4.4164
Se  11.024  165.6308  4.4805
Br  12.333  109.9300  4.6443
Kr  15.801  41.4210  5.5281
Rb  22.768  16.9882  4.0833
Sr  17.056  61.9768  4.2561
Y   13.390  140.4797  4.1844
Zr  11.159  235.8136  4.1681
Nb  10.408  261.8535  4.3228
Mo  9.901  278.6647  4.4363
Tc  9.568  287.8276  4.6041
Ru  9.399  285.9687  4.6827
Rh  9.865  251.0167  4.8424
Pd  10.465  205.3903  4.9379
Ag  11.440  146.4812  5.2008
Cd  12.834  104.7417  4.8204
In  12.146  151.5392  4.6473
Sn  11.331  186.4558  5.0339
Sb  12.514  157.5526  4.4879
Te  13.018  161.0724  4.5336
I   13.810  123.7977  4.6508
Xe  15.754  71.7736  5.3458
Cs  20.758  17.9349  7.0617
Ba  19.954  45.2460  3.9979
La  15.922  113.1201  4.2927
Ce  13.597  174.0898  4.4159
Pr  13.228  170.9526  4.3900
Nd  12.968  168.5612  4.4333
Pm  12.778  165.9729  4.5117
Sm  12.636  163.0671  4.5076
Eu  12.513  161.2837  4.4563
Gd  12.394  159.6661  4.4907
Tb  12.310  157.7018  4.4642
Dy  12.269  155.5254  4.4835
Ho  12.254  153.6435  4.5122
Er  12.264  150.8149  4.5307
Tm  12.318  147.4345  4.6411
Yb  12.427  142.8689  4.5788
Lu  12.414  150.6917  4.3445
Hf  11.041  245.7081  4.2297
Ta  10.458  275.2753  4.3440
W   10.040  296.7454  4.4559
Re  9.762  310.8041  4.5985
Os  9.599  316.0675  4.7017
Ir  10.139  278.5838  4.7639
Pt  10.763  233.6102  4.8789
Au  11.661  176.6054  5.1089
Hg  13.073  114.5457  5.2928
Tl  13.544  118.5926  5.1499
Pb  13.185  131.6228  5.0096
Bi  14.015  134.3373  4.7693
Po  13.930  161.5971  4.6193
At  14.610  129.8832  4.6945
Rn  16.202  85.2133  5.1895
Fr  19.466  37.3229  6.3787
Ra  21.210  40.5745  3.5233
Ac  17.620  101.1905  4.1372
Th  14.770  186.9823  4.2440
Pa  13.535  203.6085  4.4106
U   12.975  206.0851  4.3631
Np  12.652  206.0507  4.3274
Pu  12.416  204.1820  4.3418
Am  12.269  199.4616  4.3809
Cm  12.185  194.3660  4.4263
