#element,configuration,UUID
Cl,X/BCC,c6c0a0db-7c7f-4729-917f-d7fd124526ea
Cl,X/Diamond,cd26aa57-0ac5-43f6-897e-3d926bbcff5c
Cl,X/FCC,ba938ca4-6127-42b9-8214-df611dbedc0f
Cl,X/SC,ce281d2c-b8ee-4323-901a-bd42831eded9
Cm,X/BCC,70d9abbe-11eb-45db-95a3-c78ced946212
Cm,X/Diamond,9ab0bd9e-f585-4b34-a7cd-307756496448
Cm,X/FCC,8fd40e68-ea82-4950-b091-8ced0e518000
Cm,X/SC,f8371203-32f6-4b22-ac34-41a4b4eb938c
Co,X/BCC,f46d3de0-2b30-4260-a7ad-a81fa8f7a647
Co,X/Diamond,6b0f9dd4-015b-4b38-a651-076d474916ad
Co,X/FCC,c699d935-8e81-457e-98ba-e19fd91696e1
Co,X/SC,a8776248-af0b-43e1-a29e-1b4c6118366c
Cr,X/BCC,e8f02e71-b1a7-4ec0-af2e-2883a34f639f
Cr,X/Diamond,564a6463-24a0-4df1-bdea-70b0127b0c00
Cr,X/FCC,0a4fb252-edd2-401b-a466-43c4cbdc6d06
Cr,X/SC,edecfc7f-f3cc-46fa-8fba-9f442db32dd3
Cs,X/BCC,b724123b-01e6-4993-a6ae-3ea43affa61f
Cs,X/Diamond,e9d8dcef-f3cf-4e6c-9014-01e142e99c80
Cs,X/FCC,ada33ae7-df91-4985-87d2-3919f02bb925
Cs,X/SC,1e3d6458-de77-4791-bbe5-a269b9329544
Cu,X/BCC,baafa175-8802-4a8c-9c07-8f75837089e3
Cu,X/Diamond,8dcc5be2-2cd9-42aa-946b-d9567da93ea9
Cu,X/FCC,963dd3c9-10d3-4cbc-89ab-fbc6de9cd0be
Cu,X/SC,7c526363-2174-48c7-86d3-b4194f686c75
Dy,X/BCC,8d59f805-bd80-4d85-b739-6b0c563d0887
Dy,X/Diamond,c0f86f73-f528-4102-a1ea-baded8e421d2
Dy,X/FCC,1a506872-0e49-449e-a463-95ec047cc47c
Dy,X/SC,c9f1a5c4-c610-4e34-a9ab-ee680da756ae
Er,X/BCC,bddec042-d56c-45a5-8123-cdaca6166eda
Er,X/Diamond,ca6c2809-b550-49ca-9e95-878a9afeb117
Er,X/FCC,70425c04-2bdf-4c63-b7b5-9e337b78abb4
Er,X/SC,742cdca9-a1fb-4f74-950b-3a21251a61c8
Es,X/BCC,28ca2d04-f813-4bd5-b49d-31b0522a6d66
Es,X/Diamond,7804aa94-1aee-4a52-b54a-e6caea6cbd0b
Es,X/FCC,d2086b47-9106-48f8-90cf-b53305f0d981
Es,X/SC,a17dad17-b1f9-442c-bbd4-fa42b7502391
Eu,X/BCC,041bf396-9a18-491c-9b1d-f494d20e5d94
Eu,X/Diamond,5f468f8d-f538-4a8c-8b74-5c7b61191591
Eu,X/FCC,21c976f2-ef78-4b7e-99ea-da1ecf50de2e
Eu,X/SC,eafa046e-1dab-48c7-b122-7b1042a44aeb
F,X/BCC,e0b5a401-2ea7-4ed6-ae46-c7f4044c3d3f
F,X/Diamond,2191641a-f0d4-4b41-823e-1458591de003
F,X/FCC,64585a6d-beef-4dee-b102-55878cfb8b48
F,X/SC,f990987b-23ca-4313-9392-de36da74b269
Fe,X/BCC,f95e65ad-5882-45a8-8f28-84c0389c939b
Fe,X/Diamond,31334355-7e20-4454-9f42-a60c81a0c124
Fe,X/FCC,b0d29cfc-b1cf-4fe1-8bdb-14b702f2a711
Fe,X/SC,5607e203-8624-421b-8d73-c1a5dc119adc
Fm,X/BCC,5ef2df96-76d9-44a6-9088-508302b18f4d
Fm,X/Diamond,b713270f-feb2-4e22-81c5-71aa7b6935e4
Fm,X/FCC,51b73622-237c-4235-8537-a4223fd74794
Fm,X/SC,a3f9c58e-e6ee-4933-9d07-65812ad76934
Fr,X/BCC,46e291d8-5987-4ee9-b5c8-304f59855643
Fr,X/Diamond,07db4450-8450-48eb-ad4c-af02f5165a07
Fr,X/FCC,b2befbc7-b1da-492b-954d-906838398bac
Fr,X/SC,f1ff8706-c313-4de9-b314-e75aba9a8c07
Ga,X/BCC,42fad7c7-40bd-4161-8bc4-4a1a4d17e9ca
Ga,X/Diamond,9bb300c0-463d-4f12-a347-9a79a1da9f75
Ga,X/FCC,2e2f2a90-44df-4069-a498-dbbd069874cf
Ga,X/SC,4857e053-2477-480f-b1d3-32fbeefa9c94
Gd,X/BCC,2964d238-5a24-4328-9fe5-26798ba1cb26
Gd,X/Diamond,3a5df617-3c6e-4cb4-a18e-a44a521ce8f6
Gd,X/FCC,6d3cfbf9-9872-4893-b125-c26ea43d18d2
Gd,X/SC,d5ba25ef-66c0-435c-9591-05c8a73665ad
Ge,X/BCC,81e15bcf-cef8-4c03-a4ab-7e0cb263540e
Ge,X/Diamond,32dc2ea3-c28c-4727-8d4b-544f5ecef35d
Ge,X/FCC,755144a2-5782-4c15-8bc3-cf2b36251850
Ge,X/SC,2db5f39b-493c-43c3-8115-43e4dd21b565
H,X/BCC,708d3cce-bd1e-4cf4-935a-ab9dbe50942d
H,X/Diamond,0508cfb3-033e-4377-bbf2-df7857f65933
H,X/FCC,61e9b480-d9a2-4a1a-8092-4fb89a23b0d8
H,X/SC,45ea055a-c0eb-4165-bf2c-fe73c7641bcc
He,X/BCC,c6a5c5ef-f2a7-402e-8bec-3294d9fd14ee
He,X/Diamond,9eaadbf2-f72e-444f-9547-2d72cc6f84f9
He,X/FCC,fef69b7c-1b62-41ab-9c54-639ed166d1a5
He,X/SC,71b57cc8-fe6b-4f77-a389-df45eeea4e22
Hf,X/BCC,58bf1d20-0fb7-4ee5-a3c6-062183ad8f63
Hf,X/Diamond,0788dfc4-144a-40c9-806d-d9c8d9bcee54
Hf,X/FCC,eae6d5e1-01b5-493d-9dce-454c89685e70
Hf,X/SC,c41da5ea-982a-401c-9772-ec2d784b7460
Hg,X/BCC,1d21f629-7067-410b-8d31-d68e894a1e96
Hg,X/Diamond,1923ca29-18a9-4bac-a516-ae3dae8ad530
Hg,X/FCC,62e04b34-6a7c-4155-9f2f-41a8cd389607
Hg,X/SC,d0358f7d-228a-4b6a-872d-dfbeb9f17425
Ho,X/BCC,06be2ae4-5935-41a0-8ad1-b39c00524516
Ho,X/Diamond,db627450-8345-4b77-a256-0d63ac83f673
Ho,X/FCC,8ee77fa8-3323-4012-9bdd-095f88427aa7
Ho,X/SC,8044298b-246f-4a37-a682-9d6bc91ce1f2
I,X/BCC,333a392a-f171-47f9-bfc7-afc26d926f39
I,X/Diamond,202269fc-57e5-42a5-8aef-cbebe40fdcc8
I,X/FCC,0b1e1c37-88de-4dc3-8eaa-1a0111dedbec
I,X/SC,e08d5e2d-07ac-4974-a2a1-7b4a255f10e7
In,X/BCC,922a0bcd-2a9e-4826-b242-70a3d1741da3
In,X/Diamond,c023d78d-60ca-4962-be41-6563c4348ced
In,X/FCC,94f32a42-ed45-4620-9475-a36c6097bad3
In,X/SC,6d68a0af-fdd4-46cb-97e0-fe18d13da2b3
Ir,X/BCC,4667bb65-b96b-4d64-a031-142153eaa42a
Ir,X/Diamond,b68d2a92-f12a-46a4-a26a-128d12b3df69
Ir,X/FCC,15bc4f5b-43cd-480e-818a-a83a621363bb
Ir,X/SC,6ef5c241-7f92-4e5f-8cd8-29525c74219f
K,X/BCC,df40c560-ecef-4a09-b9a1-3387ebf4e427
K,X/Diamond,4824f551-f72f-42f5-8c5b-31019a0c098f
K,X/FCC,c9c1c4fe-f933-4b25-93cb-84ca3aefc2d9
K,X/SC,f3e77238-013f-479a-bbd4-b70233a20b6e
Kr,X/BCC,b5fc3a87-9220-4a92-b559-57204111f61e
Kr,X/Diamond,c7567bd6-23f4-4c26-ae36-bde141859c97
Kr,X/FCC,f6c8a1cc-4c32-4fba-896c-4ddc0a7b82ba
Kr,X/SC,7c509193-298c-43a9-885f-ef9653585b13
La,X/BCC,2bb0ac8f-5f1c-437a-89a3-ce3ae1d3d19a
La,X/Diamond,9d8c5c93-4ec1-469c-a7c3-953503352e8f
La,X/FCC,c798f795-b5ef-4769-9953-7bb91dd94032
La,X/SC,bb067049-2c07-4109-8cd2-65d321b8d478
Li,X/BCC,e5faf1b8-d54d-4009-8f88-fe783af834f2
