#element,configuration,UUID
Cd,X2O5,41eb0184-c7c4-4bf9-957d-de771aa36c64
Cd,XO,2beafc2b-0e68-4f91-a781-caf3438d6703
Cd,XO2,99a2fd20-9687-4c09-99dc-79fc0943b964
Cd,XO3,8e147ceb-e8d7-4a70-b870-3899bd1fdb8a
Ce,X2O,292c3d69-7596-4b92-8e38-6f63d944c913
Ce,X2O3,3c99b92c-70fa-4b0f-8ab7-43175edc5032
Ce,X2O5,fec124a1-5414-438f-875b-d9cd2cd6620e
Ce,XO,70f4330a-4ac7-4426-b760-b379fb72cc2e
Ce,XO2,de16468c-bbd6-4985-8593-142b65230c56
Ce,XO3,e662781c-39cc-491d-b154-2995b2d03b0f
Cl,X2O,d528a59b-248e-4107-8b92-9c191ac324cb
Cl,X2O3,f0980ef1-f664-4740-a6e6-ad4c9e691eff
Cl,X2O5,d61b3155-ad56-42d4-8c8f-c68eb1e114a2
Cl,XO,86c5250d-9d8d-4c80-8f3c-6ebc1ce182de
Cl,XO2,127c13dd-abbf-43f6-8717-dbc1d63fe8ea
Cl,XO3,4e5c7f30-3600-4b52-bb65-1c54cc19cf25
Cm,X2O,fc777dfd-7d99-4041-bd59-3e635c017893
Cm,X2O3,8e48aa1f-b8a3-4e4a-b04d-f7bf548e7b3b
Cm,X2O5,384f1554-2d2c-4892-9cb7-4c4de78437ad
Cm,XO,2304631c-0d2f-4e1c-972b-3698fca0e3fb
Cm,XO2,4101e360-ee32-4d22-9ec5-71123afbaad2
Cm,XO3,75d5cdcb-cf20-4ba8-9dba-365912a77776
Co,X2O,06caf6f0-da30-46cf-8e40-3ee8a8c56d11
Co,X2O3,e8842427-b05e-4da1-813e-daf4cb3bc7c7
Co,X2O5,3e96980b-fc63-4534-863c-69469f7fe88d
Co,XO,05d58671-eb88-4c8a-ad0a-2356a1bb51ec
Co,XO2,fc46511e-038c-4dd1-8f38-9ed4721359e8
Co,XO3,1ab613bd-e259-44ef-bc32-b4de05f364a6
Cr,X2O,1810552a-b275-4d8c-843d-fb24a52abce9
Cr,X2O3,d8645520-8e1e-48b4-8a22-4ce75b3cbb23
