#element,configuration,UUID
Ac,X/BCC,2029fda4-22d4-4013-b67c-23378c17ac7f
Ac,X/Diamond,6787dc93-5d77-4e3a-a66f-f8212f20f5e2
Ac,X/FCC,287aa3e6-317a-434d-8a64-4ddfe8c2b28f
Ac,X/SC,c282df20-6c8a-438d-b876-cde559ca76b9
Ag,X/BCC,d0ceb4fd-47d2-441d-abcb-c67c41faa982
Ag,X/Diamond,88789551-3b93-4059-8bbb-88f13c6e4569
Ag,X/FCC,f8238b62-7a8f-41b4-a9ff-c5e8a3e3d9ac
Ag,X/SC,a3046b90-d84c-4854-916e-6a784d60c4a3
Al,X/BCC,dc08c384-1b81-4363-bf76-6e7082da62d2
Al,X/Diamond,9cc7dd11-bbe5-4877-a8c6-21c401c1dcb9
Al,X/FCC,bdcddf6b-d8b3-4993-96f8-a9d764dd591c
Al,X/SC,17403a09-ecb1-4622-bca1-87dd6de5247b
Am,X/BCC,eae9d698-85d5-4891-ba57-fe60770da3f8
Am,X/Diamond,d8a39527-f0d1-434f-8c93-ed7065e1a7a8
Am,X/FCC,fcec34ba-8a6a-4ab8-9973-02c3b2fcb739
Am,X/SC,cba38f24-4c8a-478c-b23b-5514cabe2399
Ar,X/BCC,3f1ab8b5-73b2-42e7-ada4-432edb77b551
Ar,X/Diamond,3afccd0d-45c7-4048-abfe-fff7f05ac9ae
Ar,X/FCC,81ae28ef-6b52-406c-81b5-61eea0a0749a
Ar,X/SC,e5a7610d-f269-4be2-82e2-c337642541ab
As,X/BCC,d1991b64-0c3d-4a2f-914b-340069b6ca2f
As,X/Diamond,486ef96b-d559-4c14-a7d3-78a64cee6fe3
As,X/FCC,f2773448-191e-42c2-99f8-293dd4db329d
As,X/SC,bd4dbed3-228b-4760-8bd8-0c65bec19594
At,X/BCC,4c6b6360-aa85-442a-945b-25c6ea729aa6
At,X/Diamond,2cc56cd8-63b2-4cea-9bf1-ff6465b16de4
At,X/FCC,8dae328c-965f-41bf-8603-8887bb89fa99
At,X/SC,ae29a8d2-18a8-4056-9890-4da3716c42ef
Au,X/BCC,9442d5dc-cbea-4fee-a8bd-28703889dc40
Au,X/Diamond,0fd8c375-2c6a-48c1-8629-20d5fb9c4dcd
Au,X/FCC,2c92d762-2f96-4d8c-8060-44cbec97b2e5
Au,X/SC,b2242f30-35f3-46f5-bc2e-40daf7203d59
B,X/BCC,70169cb8-2082-4c59-9071-a444f951076f
B,X/Diamond,7c4a468f-c09d-4b30-9289-b28e76f9d79e
B,X/FCC,c4bc94fe-a223-4408-9101-6bdfa8b01286
B,X/SC,69e8e6e4-5785-4265-a98c-b805c6536ff7
Ba,X/BCC,b26265ba-8264-464f-b641-2d07ffe065e6
Ba,X/Diamond,54e921c3-14ed-44da-bb66-19165f659537
Ba,X/FCC,823729a1-d6af-472f-abcd-dd81189d89ad
Ba,X/SC,995acfa9-2456-44dc-97ee-6f3c864ef4a5
Be,X/BCC,315241ab-3172-4b5e-ba20-8b234a61d5d3
Be,X/Diamond,197a6d27-1cff-4679-9dbe-bb5449a2e591
Be,X/FCC,91159999-2d09-4853-bfcf-21460957c04a
Be,X/SC,d5fd1e12-6f4a-456f-b387-d7a9e8ff90ef
Bi,X/BCC,d66fe5d4-57d1-4139-9e51-6de06f8a1fa6
Bi,X/Diamond,2671b558-0102-4b53-a4f3-0a03cd706c7b
Bi,X/FCC,f7968482-61de-4441-bdc9-485787abdd0e
Bi,X/SC,1a8f2f69-728a-4327-9076-a8125d6a9a0c
Br,X/BCC,793e6113-0952-4acc-92ac-8da2b502ad02
Br,X/Diamond,bdef128d-d2b6-4321-b8de-29d9238cbac1
Br,X/FCC,bb4210d1-21bb-4e00-8395-09761d7dbfd8
Br,X/SC,b8fb6991-a75b-4898-a5a1-cd597034aa43
C,X/BCC,d105cd29-f1b5-463a-8f12-643565b91924
C,X/Diamond,05a1a335-8325-4079-8b25-f5e8d1c66e2c
C,X/FCC,6c436e12-f2f4-4709-85b5-4cd2f8e987f9
C,X/SC,953f9de6-3c19-4575-b775-9f5206a7bf8e
