#element,configuration,UUID
Br,X2O5,9e7cce72-37aa-4f3e-a644-906d2d79c15d
Br,XO,af8f5207-844d-4fbd-bab9-03a138ed9a28
Br,XO2,4914f1a5-7a4c-4573-87d6-2b08281e1688
Br,XO3,4f5fc1b5-6d5b-4431-b527-68640465ac17
C,X2O,234adc0f-219d-458b-9a32-eec1b0db6284
C,X2O3,d24086dd-a144-4851-b497-629af0c647b4
C,X2O5,89f701f9-e112-4981-8321-b3ce58c0b717
C,XO,5f04e7f8-0023-4e7d-adeb-75e032105cc9
C,XO2,95afb90d-aad6-441e-8c15-8db9239af13d
C,XO3,4bd74c04-44f1-44a1-a718-de91b8c8ceee
Ca,X2O,f5a64ca8-fdfe-4953-b0e8-62d149886b86
Ca,X2O3,9c37b380-a8fb-4be5-90f3-ac3f6df4adbc
Ca,X2O5,e65b8b59-6c14-489f-a88f-a7eac3d94d88
Ca,XO,47882811-d56d-4a97-a797-091b6e34780f
Ca,XO2,cf8e2cf2-3b13-44f5-a15f-49de85842ab1
Ca,XO3,7bd6c9e1-cfa1-4900-9be9-5acf1d75442f
Cd,X2O,1ec7ae40-7d12-4abd-bd71-acb087690cce
Cd,X2O3,6823dbed-d255-4deb-9739-b49d30f2875c
Cd,X2O5,d0aa5aee-d84f-4c66-ad19-58540ff30977
Cd,XO,626727b1-89c8-4c11-8974-d542f850e49a
Cd,XO2,5b9395fa-536e-42c2-ba38-8c220b376f4d
Cd,XO3,c87c0644-6c70-42fe-b0eb-0c3eaff2d4a1
Ce,X2O,76cd8842-6f2d-4f57-9554-f8f433cfeaff
Ce,X2O3,a2bb5353-b042-4b7e-8d2b-be0b2b1fdd90
Ce,X2O5,6296bd5b-d9ff-47a6-bedf-4941e43df59f
Ce,XO,6edbefd8-880b-4e5a-99e5-053223445950
Ce,XO2,f12681f9-b904-4983-91ea-92fa82d9440e
Ce,XO3,c857b7ee-abe5-47f7-9b7c-ba6ac5c5e2af
Cf,X2O,e7ce6369-5abb-4512-850d-85d9a0c66e61
Cf,X2O3,11910f87-3848-4741-b62d-69bd824df8f5
Cf,X2O5,c0f7fd41-a083-4640-9e12-87c8322cff2e
Cf,XO,edcc35c8-ceac-4268-928c-655f3bff0483
Cf,XO2,619ba88a-cec4-49d2-8435-0e5aeee88c40
Cf,XO3,e6c41426-8cd8-40b5-a4f7-d2aec39f781d
Cl,X2O,b447ca93-b641-4c19-812f-0483ac758d4d
Cl,X2O3,4a67be78-d6e2-466f-832d-3c19d464160f
Cl,X2O5,5364a014-f279-4637-acdb-31f69bc42e79
Cl,XO,bad9fb03-ebd3-497d-abba-4344c2664a80
Cl,XO2,0a88a429-b89f-48c3-be11-7b6083dd31f7
Cl,XO3,cdfbeea5-c2de-45ff-ba97-d1ac13b1b91d
Cm,X2O,56f24409-a105-46b8-b61f-0415c0f04152
Cm,X2O3,3c7fe0ff-820b-4495-ba66-ea3656702c90
Cm,X2O5,7cd33acf-f584-4713-973e-2abf96073835
Cm,XO,cf7a4a35-4056-4ee4-9d91-ccece740cd0f
Cm,XO2,a71efa1d-3511-443f-b2e5-0dd8aa4fb4d2
Cm,XO3,e1080eb6-4f55-4bbd-b0e9-43a742d2d104
Co,X2O,520d0cb9-911a-4e45-9de9-1ba2c59577de
Co,X2O3,1dbcb3e3-939b-432c-9079-b9ee41184b04
Co,X2O5,d75ad1c7-f354-46ea-80cd-87120b98cb66
Co,XO,b68e8c3d-fccb-4caa-99e5-b2b5a229ccea
Co,XO2,30448ea8-891d-4114-86ed-b5668b5d11a8
Co,XO3,c1c1cba8-c32c-4257-a9a0-aea6cc34592a
Cr,X2O,d98cb67e-5575-424e-b86c-fe859e694a4b
Cr,X2O3,64ab711e-4a14-4d1e-a62d-95d56e9b6a7a
Cr,X2O5,f4b023f4-8af5-4c58-8ad9-95b7cc34a6ec
Cr,XO,3ab543bf-4b81-462a-8c11-6b2205d6ec43
Cr,XO2,fafb673f-f833-4bca-916f-5f7e02886a75
Cr,XO3,ae898afa-7886-4a13-a8c8-06f027c07759
Cs,X2O,2370b047-9c1a-4092-ac14-98dc6258edf0
Cs,X2O3,c117e57a-6e36-4932-bcb0-75c45e542893
Cs,X2O5,e447b05c-e4a5-415b-9f41-c9af87a89374
Cs,XO,9e56642c-c6dc-47ac-96fe-b8adcee00195
