#element,configuration,UUID
Fe,X/Diamond,835de12e-411b-4cc9-9901-07212a3a1ada
Fe,X/FCC,eb27b099-ba16-47ab-875e-d29ee38388bc
Fe,X/SC,5564e6e1-ea71-447b-9d6e-bf929ff25e26
Fr,X/BCC,ac288c4d-1985-4ed7-8116-2a277e286f74
Fr,X/Diamond,f083ff7a-f07d-4821-854b-6bcb00808a16
Fr,X/FCC,14b54464-b0fa-43a2-b926-e8e800199e88
Fr,X/SC,d5e8f607-e14a-4496-bef4-0ef5d1d508dc
Ga,X/BCC,058d5ffa-9d57-4637-b0ee-e3ad1697a138
Ga,X/Diamond,2ca08152-8261-4c92-88be-9d6aec9972c7
Ga,X/FCC,ce04f83d-d785-48c2-8309-a7634ea10f3d
Ga,X/SC,a24a8fca-6a0d-4bed-9da7-2c79e8851dbe
Ge,X/BCC,7aa8ab57-10a0-4b16-9f2c-82d03db042c1
Ge,X/Diamond,df5bfd78-a48b-4324-9229-32ffd871a8f6
Ge,X/FCC,3211969e-c940-41d3-abb8-e75fbb373e9a
Ge,X/SC,85f40c23-1d8a-44ab-b007-f4c3da76800d
H,X/BCC,41efef6f-bf6b-4d19-8bcc-bdd70c71203f
H,X/Diamond,7399477a-7ca2-4198-83d8-b57ea76e8a52
H,X/FCC,8e79e328-6b3e-46fa-a7e0-8173a045f7bd
H,X/SC,c74034a9-1944-4de5-918d-d3e258747cc1
Hf,X/BCC,405f90e8-5475-4058-af39-54e71b985106
Hf,X/Diamond,b995cb59-e53c-44ee-a6b6-092c96ca487e
Hf,X/FCC,67d464ea-3820-4bb8-9a7e-20e029b8cf78
Hf,X/SC,eb7efac4-261e-44c5-8ea9-798f39780db3
Hg,X/BCC,29bc15f1-6d43-4247-b900-c60dba3f82c7
Hg,X/Diamond,ca394089-0cfc-4aee-b178-dc03f3d38934
Hg,X/FCC,175fae46-d9b2-41b8-b94b-96d7aad6a961
Hg,X/SC,8544b676-3a0b-4a4f-90d9-a33bd0582c55
I,X/BCC,95fe5550-c22e-42d7-a8d3-12266485647f
I,X/Diamond,5b99c824-adb4-4d38-b8d3-c0f4f1ff6b3f
I,X/FCC,c64a557c-8f64-49f6-a6e5-77b17891d5a4
I,X/SC,a86dbf21-933c-4979-af00-b6ece1dd7529
In,X/BCC,db0c3e65-6c3e-4870-86b3-7a60186889c3
In,X/Diamond,53707b11-c76b-4dcb-8e0d-2da3a1bc4942
In,X/FCC,f95dd4f9-e4e0-4851-86c2-30e7f380c459
In,X/SC,5160ec47-4528-416e-ab83-fa1252a43a5d
Ir,X/BCC,1e860aa0-fdeb-45c1-a84b-312520fdeb18
Ir,X/Diamond,681a8849-a627-4751-9add-aa77cc9830cd
Ir,X/FCC,f1a2be49-9add-45b1-a011-43f01d152fe7
Ir,X/SC,b3d0aa8d-12b5-47a6-a800-068a8ee617a6
K,X/BCC,22d33bd4-7c9d-4579-9277-ee492a479481
K,X/Diamond,2e2a6ef7-d779-4a94-8ce8-4b64da902f52
K,X/FCC,fdabf42d-24ab-4826-a94d-5e561d6217c0
K,X/SC,9276bc99-390f-482c-ac16-37db045ec1ba
Li,X/BCC,2dfd6193-e899-4bcf-baa1-43f0df78e5c5
