#element,configuration,UUID
Cl,X/BCC,ae764d87-7344-4607-8d3a-06aa5b20e766
Cl,X/Diamond,eb931e8d-c7bf-48e9-b824-518ec9960668
Cl,X/FCC,a6656b61-7cbc-47a8-95e6-81c622425b92
Cl,X/SC,0e452941-d8af-4c0a-9463-b1e6ff494878
Cm,X/BCC,bd9512ed-a616-49ef-b42c-1f28562e70fc
Cm,X/Diamond,c1776ca6-2608-42ca-ab17-24d24bcbee5f
Cm,X/FCC,638b15d2-1886-4990-9c14-64bbaf140230
Cm,X/SC,9e5a81e7-d16a-4662-a5e4-e985520fc38c
Co,X/BCC,5d5fdb12-b1f9-4784-9832-213aaf8a7901
Co,X/Diamond,3df9e463-42fb-434b-9787-fb39cbcdc65b
Co,X/FCC,06ac295e-b4aa-4dbb-9582-491c8423925f
Co,X/SC,30441376-826f-496c-b7d2-70b20a21ca47
Cr,X/BCC,8ee5d916-1da9-4971-b5e7-2f98d05ebd8d
Cr,X/Diamond,d6ba7b6d-1543-40da-8f1d-69cff9ca5fc7
Cr,X/FCC,a6644d79-5284-4a02-b425-5b07b7393641
Cr,X/SC,709ee1fe-e153-4cde-b66a-8d2aed08ae15
Cs,X/BCC,b80bc856-8130-4f81-b401-14443a69dc07
Cs,X/Diamond,bc4e0f98-218e-498c-90e8-3585d0d1dd80
Cs,X/FCC,b2527305-48cf-401f-9ce9-e83ed1880438
Cs,X/SC,80637028-3ae2-4dd0-8d3f-d50abfc044c8
Cu,X/BCC,ec842c21-42e3-4292-aeed-334275d8e5c3
Cu,X/Diamond,4cfaa94f-d091-447e-8d43-edbd803643f0
Cu,X/FCC,fe59813e-edbf-476a-8c78-c73cd3569516
Cu,X/SC,8d7dc1a9-b8b1-45f8-8cbb-176f4253d533
Dy,X/BCC,5da3a78f-5d23-480c-af83-f218765935be
Dy,X/Diamond,b10db81a-0fb5-436f-98c7-453bf3e85a06
Dy,X/FCC,e178685a-99c4-46bf-848c-933ac5f049be
Dy,X/SC,64d49692-330a-4f52-9917-6365841784e8
Er,X/BCC,c9155766-1b29-45b8-90fe-c7d9501c592d
Er,X/Diamond,855f5bbb-c173-4107-ba7a-d73913d08cf8
Er,X/FCC,e8167d39-6ea4-44dc-bc66-dc8c745d6456
Er,X/SC,b9ad1651-a9a1-4c31-9728-1a91edee1945
Es,X/BCC,99379fd9-31ea-40d9-9649-08e71dc0ee79
Es,X/Diamond,e2cb143d-9164-4b48-b8a8-07a872c6bca1
Es,X/FCC,1fca374f-cf6d-47db-8c3c-f3d2969813f6
Es,X/SC,0b82dab9-c6f0-4ed9-ab11-caab4867109b
Eu,X/BCC,1e2684e9-237c-40d4-a232-6612b5314304
Eu,X/Diamond,30348bc5-71a5-4ecf-af4f-121938038a60
Eu,X/FCC,3d840fd3-285f-4bd1-8590-3b8a7a343ac9
Eu,X/SC,4985d320-133b-4289-af99-08e5998d954f
F,X/BCC,3a741969-5075-44e3-9c45-219b412304dc
F,X/Diamond,1ae685da-c77e-4e03-9e74-7565e9d1fb63
F,X/FCC,3ca31bbb-552f-4e97-8b6a-15f8f173436e
F,X/SC,e595121f-bd03-4fdc-b12c-6a2274567517
Fe,X/BCC,979ab2fa-9f7b-49d3-b819-cc15bb6f9b9f
Fe,X/Diamond,a23ed734-a3ad-4bde-b294-1a2e59096312
Fe,X/FCC,ba6400f4-1827-417b-a9be-31f5b3123259
Fe,X/SC,5c36cd18-d539-495f-9d85-a43d11aebb20
Fm,X/BCC,41686259-7d24-40c9-8c2e-4b9143e824a5
Fm,X/Diamond,467a97c4-93a6-4889-aefc-cc404668971f
Fm,X/FCC,8234a304-d471-428f-89a5-d54e6c37fc8d
Fm,X/SC,b9f13bdf-87ba-49aa-9370-4cc6e089fec4
Fr,X/BCC,ed234eaf-a142-49ed-9998-e3c2d945f757
Fr,X/Diamond,35a36a88-0bee-4189-b4d1-474c0d1ecaa0
Fr,X/FCC,075abbfa-1e5b-49c2-96de-414d3186dcbe
Fr,X/SC,4ed560ce-af8f-4a40-b991-208980b6b661
Ga,X/BCC,e4a1c7c0-26da-4b6b-a2aa-a87e6fc5e1ac
Ga,X/Diamond,b418ff1e-47cb-4033-b4cc-031231873169
Ga,X/FCC,68f82866-e789-48ca-8dff-c796f34584f3
Ga,X/SC,11ac73c7-d054-4ee9-89fe-76e91770c45b
Gd,X/BCC,1a96c799-6297-4123-b59f-6f42c1599208
Gd,X/Diamond,b19d298d-9aa7-44cd-bb51-9baee356c45e
Gd,X/FCC,86d51691-ead6-41e1-91e6-fc3b9894ca46
Gd,X/SC,58bc466f-49c2-4ef5-8432-a9d7fcb0ce06
Ge,X/BCC,94b3a3c3-e8c9-416f-8633-963a7953e779
Ge,X/Diamond,43d77230-c3f8-432d-89c1-b534ba959789
Ge,X/FCC,85c4d7f1-2b7b-4bcf-aa9a-39f17bf5bc7b
Ge,X/SC,7029b078-0415-4139-a8ed-74923659f6e8
H,X/BCC,42bd5c7f-4bd9-4238-bc9b-84f23a0bd417
H,X/Diamond,5e0e1618-2b9b-4e3d-8941-6b16f0cd9f40
H,X/FCC,787deafc-672f-4fde-a715-ff8dc3fb56e5
H,X/SC,07ff479b-452f-40fc-acec-9b2c527f9bfd
He,X/BCC,888b5945-5997-4c31-ba9a-6114bb2cdd5a
He,X/Diamond,01eed69c-f4ab-49d7-9bf2-efdd7ee26029
He,X/FCC,83749a79-80e6-4c04-bae3-474da7794110
He,X/SC,2b3186d6-c23b-42e9-b06a-c2f8f01c161b
Hf,X/BCC,3412dd04-92ae-4cc1-9663-53f79435adfe
Hf,X/Diamond,64b57293-7af6-423a-ae18-82eb3513830f
Hf,X/FCC,cdc3a19f-cc85-4124-89f1-d073896e4cae
Hf,X/SC,29335f32-78fe-4c07-aae2-4514c38aaf42
Hg,X/BCC,86804c2d-84a5-465c-829f-9f49efbd6e12
Hg,X/Diamond,d40768ed-0cee-44f2-824a-b1d269f230a1
Hg,X/FCC,bd44b4f2-7215-49fe-a9d9-4e2c2c969c68
Hg,X/SC,068f5b2e-5ac9-4eb9-8ff0-5393892116fe
Ho,X/BCC,54c18d06-b827-4d16-9964-95b94e2a041f
Ho,X/Diamond,0cf41370-8340-4be3-a43f-5b4e11412080
Ho,X/FCC,ed62b096-ff54-4ba9-a30a-95214b29d4c9
Ho,X/SC,1a4693c7-5684-41ad-a06f-b94d5e0b7258
I,X/BCC,7c4eb154-0a30-41f7-be41-c559a167c1e4
I,X/Diamond,6d4704a8-21e6-4dab-a098-db315911da2e
I,X/FCC,6977c81b-ed49-4606-ad51-bad640e8418f
I,X/SC,80acb4be-46b0-4bf1-b4cc-c42404278e97
In,X/BCC,aaff7780-8b5d-4cab-9496-614d92eeac97
In,X/Diamond,dc978ab7-4092-446a-a8f7-006b469273f2
In,X/FCC,8ad4aa65-c7da-4a9f-b456-2452d15a0279
In,X/SC,193cb8d4-cef5-43dc-a119-d09d8ee25ed6
Ir,X/BCC,d8f9f513-965a-4e3f-ac74-fb62056d68f1
Ir,X/Diamond,f07e7972-203b-4321-8417-58999eb8ad84
Ir,X/FCC,931c4686-a72b-4bd8-bad2-8e9b5ae2fa7b
Ir,X/SC,8bbd5eed-4a98-45ca-849f-bad573dc2622
K,X/BCC,11745bf8-e370-492e-a0c8-365affc83df8
K,X/Diamond,ffccc07b-53ff-448b-a2d8-be844818ece9
K,X/FCC,46d6cec7-6cc6-4712-a007-0b9fc6608b6b
K,X/SC,e1d6b2ae-cad6-4edb-a7d5-c06f0346d02f
Kr,X/BCC,4697bb10-3fe4-4c76-ba77-68b88e54ddb8
Kr,X/Diamond,e42cf0af-a9c1-4ca1-8d55-1ff1d48b2096
Kr,X/FCC,68959053-1353-481c-8384-eed881ffea3f
Kr,X/SC,899c4273-eb44-4876-beb7-865de1bf22ae
La,X/BCC,e57cc17e-e0b8-438c-a4d9-0d1dbe7e9edc
La,X/Diamond,db31b9a8-0b42-4bb3-87c1-99d72bc28f30
La,X/FCC,c053de72-0b05-43cb-bcc4-21c80b44a202
La,X/SC,7998b224-ca90-47b3-a5ac-a95faf351d71
Li,X/BCC,6ba0b912-1a27-41f3-8748-224f6e554e7a
Li,X/Diamond,27b7c0c8-1f18-4ac0-bc4a-01f41247f707
Li,X/FCC,0511f296-5925-46ad-899f-137bc5175108
Li,X/SC,ba724982-a972-441a-b86c-967460380d39
Lr,X/BCC,340327e7-25ab-469b-bc41-ec5b80167a6d
Lr,X/Diamond,61d0abbb-0777-4ed7-911e-dbd260eb28fb
Lr,X/FCC,ebb1c82c-73a9-4089-94bd-459d9a96af38
Lr,X/SC,4e88bf3c-3408-44f5-8302-64c9eb1faab2
Lu,X/BCC,a13bd223-2456-4389-9300-444028afd092
Lu,X/Diamond,a44a2799-7a91-40f7-a329-cc2bb59d90e4
Lu,X/FCC,036e3bdd-417b-41a7-bf42-e5deddd8bd33
Lu,X/SC,90f8f823-ff74-4208-ae81-6b49428b565e
Md,X/BCC,7b7d9916-be09-4d30-8468-baee44d4a04a
Md,X/Diamond,e5a9cb9e-05f4-4238-a716-c4ab58754de9
Md,X/FCC,3a9e3329-d8c8-43c3-9513-bab277dd7a38
Md,X/SC,d7cddc29-200e-455d-bc93-f74ecd0d1659
Mg,X/BCC,88ec2384-6fdf-4f0e-86a5-1505b825b87b
